Festival_name,Tithi,Nakshatra,month,day,weekday,adhik_maasa,calendar_type,icon_file,Festival_en,Festival_ta,Festival_te,Festival_ka,Festival_hi,Festival_ml
Swayambhuva Manvadi Srartha tithi,3,,1,,,,0,srartha.png,Swayambhuva Manvadi Sratha tithi Sratha tithi,ஸ்வயம்புவ மன்வாதி ஸ்ரார்த்த திதி,స్వయంభువ మన్వాది స్రార్థ తిథి,ಸ್ವಯಂಭುವ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,स्वायम्भुव मन्वादि श्रार्थ तिथि,സ്വയംഭുവ മൻവാദി സ്രാർത്ത തിഥി
Tamasa Manvadi Srartha tithi,12,,8,,,,0,srartha.png,Tamasa Manvadi Sratha tithi Sratha tithi,தாமஸ மன்வாதி ஸ்ரார்த்த திதி,తామస మన్వాది స్రార్థ తిథి,ತಾಮಸ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,तमसा मन्वादि श्रार्थ तिथि,താമസ മൻവാദി സ്രാർത്ത തിഥി
Tamil New Year,,,1,1,,,0,festival.png,Tamil New Year,தமிழ் புத்தாண்டு,తమిళ నూతన సంవత్సరం,ತಮಿಳು ಹೊಸ ವರ್ಷ,तमिल नव वर्ष,തമിഴ് പുതുവത്സരം
Teachers_Day_India,,,9,5,,,4,festival.png,Teachers' Day,ஆசிரியர் தினம்,ఉపాధ్యాయ దినోత్సవం,ಶಿಕ್ಷಕರ ದಿನ,शिक्षक दिवस,അധ്യാപകദിനം
Thai Poosam,15,8,10,,,,0,thai_poosam.png,Thai Poosam,தை பூசம்,థాయ్ పూసం,ಥಾಯ್ ಪೂಸಂ,थाई पूसम,തായ് പൂസം
Thanksgiving,,,11,30,5,,4,thanksgiving.png,Thanksgiving,நன்றியறிதல் திருநாள்,కృతజ్ఞతా దినోత్సవం,ಕೃತಜ್ಞತಾ ದಿನ,थैंक्सगिविंग,നന്ദിപ്രകടന പെരുന്നാൾ
Thanksgiving,,,11,29,5,,4,thanksgiving.png,Thanksgiving,நன்றியறிதல் திருநாள்,కృతజ్ఞతా దినోత్సవం,ಕೃತಜ್ಞತಾ ದಿನ,थैंक्सगिविंग,നന്ദിപ്രകടന പെരുന്നാൾ
Thanksgiving,,,11,28,5,,4,thanksgiving.png,Thanksgiving,நன்றியறிதல் திருநாள்,కృతజ్ఞతా దినోత్సవం,ಕೃತಜ್ಞತಾ ದಿನ,थैंक्सगिविंग,നന്ദിപ്രകടന പെരുന്നാൾ
Thanksgiving,,,11,27,5,,4,thanksgiving.png,Thanksgiving,நன்றியறிதல் திருநாள்,కృతజ్ఞతా దినోత్సవం,ಕೃತಜ್ಞತಾ ದಿನ,थैंक्सगिविंग,നന്ദിപ്രകടന പെരുന്നാൾ
Thanksgiving,,,11,26,5,,4,thanksgiving.png,Thanksgiving,நன்றியறிதல் திருநாள்,కృతజ్ఞతా దినోత్సవం,ಕೃತಜ್ಞತಾ ದಿನ,थैंक्सगिविंग,നന്ദിപ്രകടന പെരുന്നാൾ
Thanksgiving,,,11,25,5,,4,thanksgiving.png,Thanksgiving,நன்றியறிதல் திருநாள்,కృతజ్ఞతా దినోత్సవం,ಕೃತಜ್ಞತಾ ದಿನ,थैंक्सगिविंग,നന്ദിപ്രകടന പെരുന്നാൾ
Thanksgiving,,,11,24,5,,4,thanksgiving.png,Thanksgiving,நன்றியறிதல் திருநாள்,కృతజ్ఞతా దినోత్సవం,ಕೃತಜ್ಞತಾ ದಿನ,थैंक्सगिविंग,നന്ദിപ്രകടന പെരുന്നാൾ
Third Crescent,3,,,,,,0,third_crescent.png,Third Crescent,மூன்றாம் பிறை,మూడవ నెలవంక,ಮೂರನೇ ಅರ್ಧಚಂದ್ರಾಕಾರ,तीसरा अर्धचंद्र,മൂന്നാം ചന്ദ്രക്കല
Thirssur Pooram,,11,1,,,,0,festival.png,Thirssur Pooram,திருச்சூர் பூரம்,త్రిస్సూర్ పూరం,ತ್ರಿಶೂರ್ ಪೂರಂ,त्रिशूर पूरम,തൃശൂർ പൂരം
Thulaam  Sankranthi,,,7,1,,,0,thulam.jpg,Thulaam  Sankranthi,துலாம் சங்கராந்தி,తులం సంక్రాంతి,ತುಲಾಂ ಸಂಕ್ರಾಂತಿ,थुलम संक्रांति,തുലാം സംക്രാന്തി
Tretha Yuga Srartha tithi,3,,2,,,,0,srartha.png,Tretha Yuga Sratha tithi Sratha tithi,திரேதா யுக ஸ்ரார்த்த திதி,త్రేతా యుగ స్రార్థ తిథి,ತ್ರೇತಾ ಯುಗ ಶ್ರಾರ್ಥ ತಿಥಿ,त्रेता युग श्रार्थ तिथि,ത്രേതായുഗ സ്രാർത്ത തിഥി
Ugadi,1,,12,,,,0,festival.png,Ugadi,உகாதி/தெலுங்கு/கன்னட புத்தாண்டு,ఉగాది/తెలుగు/కన్నడ నూతన సంవత్సరం,ಯುಗಾದಿ/ತೆಲುಗು/ಕನ್ನಡ ಹೊಸ ವರ್ಷ,उगादी/तेलुगु/कन्नड़ नव वर्ष,ഉഗാദി/തെലുങ്ക്/കന്നഡ പുതുവത്സരം
UN_Day,,,10,24,,,4,festival.png,United Nations Day (UN Day),ஐக்கிய நாடுகள் தினம்,ఐక్యరాజ్యసమితి దినోత్సవం,ಸಂಯುಕ್ತ ರಾಷ್ಟ್ರಗಳ ದಿನ,संयुक्त राष्ट्र दिवस,ഐക്യരാഷ്ട്ര ദിനം
Upakarma,15,22,4,,,,0,upakarma.png,Upakarma (rig/yajur)/Aavani avittam,உபகர்மா (ரிக்/யஜுர்)/ஆவணி அவிட்டம்,ఉపకర్మ (రిగ్/యజుర్)/ఆవని అవిట్టం,ಉಪಕರ್ಮ (ರಿಗ್/ಯಜುರ್)/ಆವನಿ ಅವಿಟ್ಟಂ,उपाकर्म (ऋग/यजुर)/आवनि अवित्तम,ഉപകർമ്മ (ഋഗ്/യജുർ)/ആവണി അവിട്ടം
Upakarma,15,22,5,,,,0,upakarma.png,Upakarma (rig/yajur)/Aavani avittam,உபகர்மா (ரிக்/யஜுர்)/ஆவணி அவிட்டம்,ఉపకర్మ (రిగ్/యజుర్)/ఆవని అవిట్టం,ಉಪಕರ್ಮ (ರಿಗ್/ಯಜುರ್)/ಆವನಿ ಅವಿಟ್ಟಂ,उपाकर्म (ऋग/यजुर)/आवनि अवित्तम,ഉപകർമ്മ (ഋഗ്/യജുർ)/ആവണി അവിട്ടം
Upakarma,15,23,4,,,,0,upakarma.png,Upakarma (rig/yajur)/Aavani avittam,உபகர்மா (ரிக்/யஜுர்)/ஆவணி அவிட்டம்,ఉపకర్మ (రిగ్/యజుర్)/ఆవని అవిట్టం,ಉಪಕರ್ಮ (ರಿಗ್/ಯಜುರ್)/ಆವನಿ ಅವಿಟ್ಟಂ,उपाकर्म (ऋग/यजुर)/आवनि अवित्तम,ഉപകർമ്മ (ഋഗ്/യജുർ)/ആവണി അവിട്ടം
Upakarma,15,23,5,,,,0,upakarma.png,Upakarma (rig/yajur)/Aavani avittam,உபகர்மா (ரிக்/யஜுர்)/ஆவணி அவிட்டம்,ఉపకర్మ (రిగ్/యజుర్)/ఆవని అవిట్టం,ಉಪಕರ್ಮ (ರಿಗ್/ಯಜುರ್)/ಆವನಿ ಅವಿಟ್ಟಂ,उपाकर्म (ऋग/यजुर)/आवनि अवित्तम,ഉപകർമ്മ (ഋഗ്/യജുർ)/ആവണി അവിട്ടം
Utpanna Ekadashi,26,,9,,,,2,ekadashi.png,Utpanna Ekadashi,உத்பன்ன ஏகாதசி,ఉత్పన్న ఏకాదశి,ಉತ್ಪನ್ನ ಏಕಾದಶಿ,उत्पन्ना एकादशी,ഉത്പന്ന ഏകാദശി
Uttama Manvadi Srartha tithi,15,,8,,,,0,srartha.png,Uttama Manvadi Sratha tithi Sratha tithi,உத்தம மன்வாதி ஸ்ரார்த்த திதி,ఉత్తమ మన్వాది స్రార్థ తిథి,ಉತ್ತಮ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,उत्तम मन्वादि श्रार्थ तिथि,ഉത്തമ മന്വാദി ശ്രാർത്ഥ തിഥി
Vaikunta Ekadasi,11,,10,,,,2,ekadashi.png,Vaikunta Ekadasi,வைகுண்ட ஏகாதசி,వైకుంట ఏకాదశి,ವೈಕುಂಠ ಏಕಾದಶಿ,वैकुंठ एकादशी,വൈകുണ്ഠ ഏകാദശി
Vaivaswata Manvadi Srartha tithi,15,,3,,,,0,srartha.png,Vaivaswata Manvadi Sratha tithi Sratha tithi,வைவஸ்வத மன்வாதி ஸ்ரார்த்த திதி,వైవస్వత మన్వాది స్రార్థ తిథి,ವೈವಸ್ವತ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,वैवस्वत मन्वादि श्रार्थ तिथि,വൈവസ്വത മന്വാദി ശ്രാർത്ഥ തിഥി
Vakrathunda Sankashti,19,,8,,,,2,chathurthi.png,Vakrathunda Sankashti/Sankatahara Chathurthi,வக்ரதுண்ட சங்கஷ்டி/சங்கடஹர சதுர்த்தி,వక్రతుండ సంక్షోభం/సంకటహర చతుర్థి,ವಕ್ರತುಂಡ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,वक्रथुण्ड संकष्टी/संकटहर चतुर्थी,വക്രതുണ്ഡ പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Varalakshmi Vratam,15,,4,,6,,0,varalakshmi.png,Varalakshmi Vratam,வரலக்ஷ்மி விரதம்,వరలక్ష్మీ వ్రతం,ವರಲಕ್ಷ್ಮೀ ವ್ರತ,वरलक्ष्मी व्रतम्,വരലക്ഷ്മി വ്രതം
Varuthini Ekadashi,26,,2,,,,2,ekadashi.png,Varuthini Ekadashi,வருத்தினி ஏகாதசி,వరుత్తిని ఏకాదశి,ವರುಥಿನಿ ಏಕಾದಶಿ,वरुथिनी एकादशी,വറുതിനി ഏകാദശി
Vasant Panchami,5,,10,,,,0,sarasvathi.png,Vasant Panchami,வசந்த பஞ்சமி,వసంత పంచమి,ವಸಂತ ಪಂಚಮಿ,वसंत पंचमी,വസന്ത പഞ്ചമി
Vignaraja Sankashti,19,,7,,,,2,chathurthi.png,Vignaraja Sankashti/Sankatahara Chathurthi,விக்னராஜ சங்கஷ்டி/சங்கடஹர சதுர்த்தி,విఘ్నరాజ సంక్షోభం/సంకటహర చతుర్థి,ವಿಘ್ನರಾಜ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,विज्ञानराजा संकष्टी/संकटहर चतुर्थी,വിഘ്നരാജ പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Vijaya Ekadashi,26,,12,,,,2,ekadashi.png,Vijaya Ekadashi,விஜய ஏகாதசி,విజయ ఏకాదశి,ವಿಜಯ ಏಕಾದಶಿ,विजया एकादशी,വിജയ ഏകാദശി
Vijayadashami,10,,6,,,,0,vijayadasami.png,Vijayadashami/Ayutha Puja,விஜயதசமி,విజయదశమి,ವಿಜಯದಶಮಿ,विजयादशमी,വിജയദശമി
Vikata Sankashti,19,,2,,,,2,chathurthi.png,Vikata Sankashti/Sankatahara Chathurthi,விகட சங்கஷ்டி/சங்கடஹர சதுர்த்தி,వికట సంక్షోభం/సంకటహర చతుర్థి,ವಿಕಟ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,विकट संकष्टी/संकटहर चतुर्थी,വികട പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Vinayaka Chaturthi,4,,5,,,,0,chathurthi.png,Vinayaka Chaturthi,விநாயக சதுர்த்தி,వినాయక చతుర్థి,ವಿನಾಯಕ ಚತುರ್ಥಿ,विनायक चतुर्थी,വിനായക ചതുർത്ഥി
Viruchiga  Sankranthi,,,8,1,,,0,vrichigam.jpg,Viruchiga  Sankranthi,விருச்சிக சங்கராந்தி,విరుచిగా సంక్రాంతి,ವಿರುಚಿಗ ಸಂಕ್ರಾಂತಿ,विरुचिगा संक्रांति,വിരുചിഗ സംക്രാന്തി
Vishu,,,1,1,,,0,festival.png,Vishu,விஷு,విషు,ವಿಶು,विशु,വിഷു
Vishwakarma Puja,,,6,30,,,1,festival.png,Vishwakarma Puja,விஸ்வகர்மா பூஜை,విశ్వకర్మ పూజ,ವಿಶ್ವಕರ್ಮ ಪೂಜೆ,विश्वकर्मा पूजा,വിശ്വകർമ പൂജ
Vishwakarma Puja,,,6,31,,,1,festival.png,Vishwakarma Puja,விஸ்வகர்மா பூஜை,విశ్వకర్మ పూజ,ವಿಶ್ವಕರ್ಮ ಪೂಜೆ,विश्वकर्मा पूजा,വിശ്വകർമ പൂജ
Vivaha Panchami,5,,9,,,,2,festival.png,Vivaha Panchami,விவாஹ பஞ்சமி,వివాహ పంచమి,ವಿವಾಹ ಪಂಚಮಿ,विवाह पंचमी,വിവാഹ പഞ്ചമി
World_AIDS_Day,,,12,1,,,4,festival.png,World AIDS Day,உலக எய்ட்ஸ் தினம்,ప్రపంచ ఎయిడ్స్ దినోత్సవం,ವಿಶ್ವ ಏಡ್ಸ್ ದಿನ,विश्व एड्स दिवस,ലോക എയ്ഡ്സ് ദിനം
World_Consumer_Rights_Day,,,3,15,,,4,festival.png,World Consumer Rights Day,உலக நுகர்வோர் உரிமைகள் தினம்,ప్రపంచ వినియోగదారుల హక్కుల దినోత్సవం,ವಿಶ್ವ ಗ್ರಾಹಕ ಹಕ್ಕುಗಳ ದಿನ,विश्व उपभोक्ता अधिकार दिवस,ലോക ഉപഭോക്തൃ അവകാശ ദിനം
World_Environment_Day,,,6,5,,,4,festival.png,World Environment Day,உலக சுற்றுச்சூழல் தினம்,ప్రపంచ పర్యావరణ దినోత్సవం,ವಿಶ್ವ ಪರಿಸರ ದಿನ,विश्व पर्यावरण दिवस,ലോക പരിസ്ഥിതി ദിനം
World_Food_Day,,,10,16,,,4,festival.png,World Food Day,உலக உணவு தினம்,ప్రపంచ ఆహార దినోత్సవం,ವಿಶ್ವ ಆಹಾರ ದಿನ,विश्व खाद्य दिवस,ലോക ഭക്ഷ്യ ദിനം
World_Health_Day,,,4,7,,,4,festival.png,World Health Day,உலக சுகாதார தினம்,ప్రపంచ ఆరోగ్య దినోత్సవం,ವಿಶ್ವ ಆರೋಗ್ಯ ದಿನ,विश्व स्वास्थ्य दिवस,ലോക ആരോഗ്യ ദിനം
World_No_Tobacco_Day,,,5,31,,,4,festival.png,World No Tobacco Day,உலக புகையிலை ஒழிப்பு தினம்,ప్రపంచ పొగాకు నిరోధ దినోత్సవం,ವಿಶ್ವ ತಂಬಾಕು ವಿರೋಧಿ ದಿನ,विश्व तंबाकू निषेध दिवस,ലോക പുകയില വിരുദ്ധ ദിനം
World_Population_Day,,,7,11,,,4,festival.png,World Population Day,உலக மக்கள் தொகை தினம்,ప్రపంచ జనాభా దినోత్సవం,ವಿಶ್ವ ಜನಸಂಖ್ಯಾ ದಿನ,विश्व जनसंख्या दिवस,ലോക ജനസംഖ്യ ദിനം
World_Post_Day,,,10,9,,,4,festival.png,World Post Day,உலக அஞ்சல் தினம்,ప్రపంచ తపాలా దినోత్సవం,ವಿಶ್ವ ಅಂಚೆ ದಿನ,विश्व डाक दिवस,ലോക തപാൽ ദിനം
World_Press_Freedom_Day,,,5,3,,,4,festival.png,World Press Freedom Day,உலக பத்திரிகை சுதந்திர தினம்,ప్రపంచ పత్రికా స్వేచ్ఛా దినోత్సవం,ವಿಶ್ವ ಪತ್ರಿಕಾ ಸ್ವಾತಂತ್ರ್ಯ ದಿನ,विश्व प्रेस स्वतंत्रता दिवस,ലോക മാധ്യമ സ്വാതന്ത്ര്യ ദിനം
World_TB_Day,,,3,24,,,4,festival.png,World Tuberculosis Day (World TB Day),உலக காசநோய் தினம்,ప్రపంచ క్షయవ్యాధి దినోత్సవం,ವಿಶ್ವ ಕ್ಷಯರೋಗ ದಿನ,विश्व क्षय रोग दिवस,ലോക ക്ഷയരോഗ ദിനം
Yamuna Chhath,6,,1,,,,0,festival.png,Yamuna Chhath/Yamuna Jayanthi,யமுனா சாத்/யமுனா ஜெயந்தி,యమునా ఛత్/యమునా జయంతి,ಯಮುನಾ ಛಾತ್/ಯಮುನಾ ಜಯಂತಿ,यमुना छठ/यमुना जयंती,യമുനാ ഛത്ത്/യമുനാ ജയന്തി
Yogini Ekadashi,26,,4,,,,2,ekadashi.png,Yogini Ekadashi,யோகினி ஏகாதசி,యోగిని ఏకాదశి,ಯೋಗಿನಿ ಏಕಾದಶಿ,योगिनी एकादशी,യോഗിനി ഏകാദശി
